    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	          RATIO[0] 
  150.042	 DELIVER	    95 	    2.2 	   18.3 	   11.6 
  150.698	 DELIVER	    96 	   2.62 	   16.7 	   11.6 
  151.561	 DELIVER	    97 	   2.55 	   16.8 	   11.6 
  152.173	 DELIVER	    98 	   2.15 	   14.1 	   11.6 
  154.272	 DELIVER	    99 	   2.02 	   15.9 	   11.6 
  155.543	 DELIVER	   100 	   1.76 	     17 	   11.6 
  156.131	 DELIVER	   101 	   1.86 	   16.6 	   11.6 
  157.929	 DELIVER	   102 	   2.13 	   18.2 	   11.6 
  160.255	 DELIVER	   103 	   2.99 	     20 	   11.6 
  160.500	 DELIVER	   104 	  0.379 	   18.5 	   11.6 
  162.499	 DELIVER	   105 	    2.5 	   20.3 	   11.6 
  163.874	 DELIVER	   106 	  0.876 	   21.6 	   11.6 
  164.562	 DELIVER	   107 	   2.01 	   22.1 	   11.6 
  165.151	 DELIVER	   108 	   2.01 	   22.2 	   11.6 
  168.087	 DELIVER	   109 	   2.98 	   23.8 	   11.6 
  168.884	 DELIVER	   110 	   2.05 	   20.6 	   11.6 
  172.529	 DELIVER	   111 	   2.89 	     24 	   11.6 
  173.748	 DELIVER	   112 	   2.54 	   22.6 	   11.6 
  174.483	 DELIVER	   113 	   2.44 	   23.2 	   11.6 
  174.848	 DELIVER	   114 	   1.64 	   16.6 	   11.6 
  175.685	 DELIVER	   115 	   1.97 	   16.6 	   11.6 
  176.262	 DELIVER	   116 	   1.78 	   15.5 	   11.6 
  180.164	 DELIVER	   117 	    2.6 	   19.1 	   11.6 
  181.391	 DELIVER	   118 	  0.473 	   18.8 	   11.6 
  183.761	 DELIVER	   119 	    2.5 	   19.3 	   11.6 
  184.143	 DELIVER	   120 	   1.88 	   13.8 	   11.6 
  185.545	 DELIVER	   121 	   1.02 	   13.1 	   11.6 
  185.731	 DELIVER	   122 	   1.36 	   12.1 	   11.6 
  185.862	 DELIVER	   123 	  0.452 	   10.7 	   11.6 
  185.943	 DELIVER	   124 	   2.21 	   9.26 	   11.6 
  186.522	 DELIVER	   125 	  0.863 	   9.33 	   11.6 
  191.857	 DELIVER	   126 	  0.963 	     12 	   11.6 
SUMMARY STATISTICS
SERVICE[ID[7]]:
 Time Ave. = 	   1.56 Time Sample Var. =	 0.6201
 Event Ave. =	  1.773 Event Sample Var. =	 0.6201
 Minimum =	 0.3795
 Maximum =	  2.992
SYSTEM[ID[7]]:
 Time Ave. = 	  12.45 Time Sample Var. =	  110.5
 Event Ave. =	  15.93 Event Sample Var. =	  219.9
 Minimum =	   4.14
 Maximum =	  122.5
RATIO[0]:
 Time Ave. = 	  5.338 Time Sample Var. =	   28.6
 Event Ave. =	  4.723 Event Sample Var. =	  25.41
 Minimum =	      0
 Maximum =	  11.62
