    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	          RATIO[0] 
    7.990	 DELIVER	     1 	   2.25 	   7.98 	      0 
   17.648	 DELIVER	     2 	   2.86 	    7.5 	      0 
   18.229	 DELIVER	     3 	  0.672 	   5.35 	      0 
   23.944	 DELIVER	     4 	   1.79 	   8.05 	      0 
   24.568	 DELIVER	     5 	   2.84 	   7.61 	      0 
   25.328	 DELIVER	     6 	    2.2 	   7.75 	      0 
   26.468	 DELIVER	     7 	   2.58 	   7.97 	      0 
   28.292	 DELIVER	     8 	   1.94 	   10.5 	      0 
   30.071	 DELIVER	     9 	   2.24 	   6.11 	      0 
   33.379	 DELIVER	    10 	   2.74 	   8.93 	      0 
   35.855	 DELIVER	    11 	   2.19 	   8.35 	      0 
   36.659	 DELIVER	    12 	  0.822 	   7.79 	      0 
   36.801	 DELIVER	    13 	  0.748 	    6.7 	      0 
   37.181	 DELIVER	    14 	    1.3 	   6.95 	      0 
   42.535	 DELIVER	    15 	   1.51 	   6.33 	      0 
   45.123	 DELIVER	    16 	   1.14 	   9.37 	      0 
   47.322	 DELIVER	    17 	   1.43 	   6.84 	      0 
   54.841	 DELIVER	    18 	    2.4 	   7.09 	      0 
   58.787	 DELIVER	    19 	      2 	   7.62 	      0 
   60.527	 DELIVER	    20 	   2.27 	    9.4 	      0 
   61.096	 DELIVER	    21 	   1.79 	   9.87 	      0 
   61.117	 DELIVER	    22 	   1.73 	   7.44 	      0 
   63.062	 DELIVER	    23 	   2.52 	     10 	      0 
   63.095	 DELIVER	    24 	   2.87 	   10.8 	      0 
   66.297	 DELIVER	    25 	  0.826 	   11.4 	      0 
   68.018	 DELIVER	    26 	   1.11 	   12.8 	      0 
   68.382	 DELIVER	    27 	   2.29 	     13 	      0 
   68.483	 DELIVER	    28 	   1.08 	   11.9 	      0 
   69.033	 DELIVER	    29 	   1.54 	   11.4 	      0 
   69.102	 DELIVER	    30 	   1.32 	   10.5 	      0 
   71.618	 DELIVER	    31 	  0.703 	   12.4 	      0 
   72.588	 DELIVER	    32 	  0.891 	   11.8 	      0 
   75.349	 DELIVER	    33 	   1.68 	   12.6 	      0 
   75.774	 DELIVER	    34 	   2.17 	   12.1 	      0 
   76.333	 DELIVER	    35 	   2.89 	   11.3 	      0 
   76.422	 DELIVER	    36 	   1.33 	   10.4 	      0 
   76.519	 DELIVER	    37 	   2.22 	   10.3 	      0 
   77.026	 DELIVER	    38 	   1.31 	   10.3 	      0 
   79.680	 DELIVER	    39 	   2.58 	   12.3 	      0 
   79.952	 DELIVER	    40 	   1.66 	   11.5 	      0 
   79.977	 DELIVER	    41 	   2.32 	   11.4 	      0 
   80.292	 DELIVER	    42 	   2.98 	   9.02 	      0 
   80.904	 DELIVER	    43 	  0.455 	   9.44 	      0 
   81.604	 DELIVER	    44 	  0.535 	   9.65 	      0 
   81.776	 DELIVER	    45 	   1.43 	   9.09 	      0 
   83.817	 DELIVER	    46 	   1.24 	    9.1 	      0 
   84.829	 DELIVER	    47 	   1.03 	   10.1 	      0 
   84.906	 DELIVER	    48 	   1.36 	   10.1 	      0 
   86.150	 DELIVER	    49 	   1.01 	   8.36 	      0 
   87.135	 DELIVER	    50 	   1.52 	    9.2 	      0 
   89.682	 DELIVER	    51 	   0.84 	   11.7 	      0 
   90.869	 DELIVER	    52 	  0.911 	   12.8 	      0 
   91.224	 DELIVER	    53 	   2.04 	   11.9 	      0 
   93.763	 DELIVER	    54 	   2.01 	     14 	      0 
   93.991	 DELIVER	    55 	   1.06 	     14 	      0 
   96.080	 DELIVER	    56 	  0.374 	   15.4 	      0 
   96.799	 DELIVER	    57 	   2.89 	   15.2 	      0 
   98.132	 DELIVER	    58 	   2.29 	   15.4 	      0 
   99.663	 DELIVER	    59 	   2.98 	     15 	      0 
  101.461	 DELIVER	    60 	  0.952 	   14.6 	      0 
  102.297	 DELIVER	    61 	   1.67 	   15.4 	      0 
  104.205	 DELIVER	    62 	   2.63 	   10.4 	      0 
  106.397	 DELIVER	    63 	   0.51 	   12.5 	      0 
  106.604	 DELIVER	    64 	   2.42 	   9.01 	      0 
  113.031	 DELIVER	    65 	   2.36 	   9.15 	      0 
  113.344	 DELIVER	    66 	   2.82 	   7.33 	      0 
  115.596	 DELIVER	    67 	  0.615 	   9.34 	      0 
  119.780	 DELIVER	    68 	  0.665 	   9.05 	      0 
  120.431	 DELIVER	    69 	   2.49 	   7.77 	      0 
  121.185	 DELIVER	    70 	   1.84 	   8.42 	      0 
  121.872	 DELIVER	    71 	   1.58 	    7.8 	      0 
  123.070	 DELIVER	    72 	   1.51 	   5.37 	      0 
  124.176	 DELIVER	    73 	   2.64 	    6.8 	      0 
  126.986	 DELIVER	    74 	      2 	   8.35 	  0.457 
  131.925	 DELIVER	    75 	   2.43 	   12.6 	   3.91 
  133.904	 DELIVER	    76 	  0.932 	   14.3 	   4.06 
  134.874	 DELIVER	    77 	   2.46 	   14.8 	   4.06 
  135.080	 DELIVER	    78 	   1.43 	   14.5 	   4.06 
  135.455	 DELIVER	    79 	   2.27 	   14.7 	   4.19 
  135.712	 DELIVER	    80 	  0.933 	   13.5 	   4.19 
  137.677	 DELIVER	    81 	   2.76 	   15.3 	   4.19 
  138.760	 DELIVER	    82 	   1.02 	   15.3 	   4.19 
  139.399	 DELIVER	    83 	  0.775 	   15.8 	   4.19 
  139.779	 DELIVER	    84 	    1.3 	   15.4 	   4.19 
  139.993	 DELIVER	    85 	   2.55 	   15.3 	   4.19 
  140.167	 DELIVER	    86 	    1.5 	   15.4 	   4.19 
  141.676	 DELIVER	    87 	   1.08 	   16.4 	   4.19 
  141.710	 DELIVER	    88 	   2.14 	   16.3 	   4.19 
  143.142	 DELIVER	    89 	  0.787 	   17.3 	   4.19 
  143.608	 DELIVER	    90 	   2.61 	   16.7 	   4.19 
  144.471	 DELIVER	    91 	   2.95 	     17 	   13.1 
  144.573	 DELIVER	    92 	   1.35 	   16.2 	   13.1 
  145.860	 DELIVER	    93 	  0.842 	     17 	   13.1 
  146.736	 DELIVER	    94 	   2.04 	   17.3 	   13.1 
  147.101	 DELIVER	    95 	   1.78 	   17.1 	   13.1 
  147.789	 DELIVER	    96 	   1.93 	   16.9 	   13.1 
  148.538	 DELIVER	    97 	   1.25 	   16.1 	   13.1 
  149.724	 DELIVER	    98 	    2.1 	   15.8 	   13.1 
  150.530	 DELIVER	    99 	   1.08 	   15.5 	   13.1 
  151.018	 DELIVER	   100 	   1.31 	   15.7 	   13.1 
  154.264	 DELIVER	   101 	   2.24 	   18.7 	   13.1 
  157.048	 DELIVER	   102 	   2.34 	     21 	   13.1 
  157.458	 DELIVER	   103 	   1.69 	   20.7 	   13.1 
  158.141	 DELIVER	   104 	   1.54 	   20.8 	   13.1 
  159.384	 DELIVER	   105 	   2.14 	   21.7 	   13.1 
  159.386	 DELIVER	   106 	   1.58 	   21.2 	   13.1 
  161.462	 DELIVER	   107 	   2.18 	   22.9 	   13.1 
  161.687	 DELIVER	   108 	   2.04 	   22.7 	   13.1 
  161.705	 DELIVER	   109 	   2.39 	   22.6 	   13.1 
  163.574	 DELIVER	   110 	   2.78 	   22.4 	   13.1 
  163.763	 DELIVER	   111 	  0.522 	   14.1 	   13.1 
  164.156	 DELIVER	   112 	   1.55 	   10.4 	   13.1 
  164.413	 DELIVER	   113 	   2.02 	   9.87 	   13.1 
  166.153	 DELIVER	   114 	   1.69 	   8.62 	   13.1 
  167.205	 DELIVER	   115 	  0.689 	   9.05 	   13.1 
  167.480	 DELIVER	   116 	    1.6 	    8.7 	   13.1 
  172.728	 DELIVER	   117 	  0.441 	   7.19 	   13.1 
  174.066	 DELIVER	   118 	  0.441 	    167 	   13.1 
  174.389	 DELIVER	   119 	    1.8 	   8.61 	   13.1 
  174.663	 DELIVER	   120 	   2.35 	   6.13 	   13.1 
  178.310	 DELIVER	   121 	   2.35 	    172 	   13.1 
  179.681	 DELIVER	   122 	   2.48 	   8.41 	   13.1 
  179.978	 DELIVER	   123 	  0.829 	   8.49 	   13.1 
  186.148	 DELIVER	   124 	   1.16 	   14.5 	   13.1 
  187.281	 DELIVER	   125 	   2.66 	   13.8 	   13.1 
  188.430	 DELIVER	   126 	   1.19 	   13.6 	   13.1 
  188.605	 DELIVER	   127 	   2.92 	   12.1 	   13.1 
SUMMARY STATISTICS
SERVICE[ID[7]]:
 Time Ave. = 	  1.933 Time Sample Var. =	 0.7133
 Event Ave. =	  1.729 Event Sample Var. =	 0.5233
 Minimum =	 0.3738
 Maximum =	  2.984
SYSTEM[ID[7]]:
 Time Ave. = 	   11.6 Time Sample Var. =	  196.8
 Event Ave. =	  14.61 Event Sample Var. =	  401.5
 Minimum =	  5.351
 Maximum =	  172.2
RATIO[0]:
 Time Ave. = 	  5.432 Time Sample Var. =	   39.5
 Event Ave. =	  4.337 Event Sample Var. =	  33.21
 Minimum =	      0
 Maximum =	  13.08
