    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	          RATIO[0] 
    9.990	 DELIVER	     1 	   2.03 	   9.98 	      0 
   11.833	 DELIVER	     2 	   1.45 	   8.46 	      0 
   12.745	 DELIVER	     3 	  0.568 	   9.15 	      0 
   12.797	 DELIVER	     4 	  0.443 	   6.26 	      0 
   13.818	 DELIVER	     5 	    2.8 	   7.59 	      0 
   14.798	 DELIVER	     6 	   1.77 	   7.86 	      0 
   17.923	 DELIVER	     7 	   1.44 	    5.9 	      0 
   18.758	 DELIVER	     8 	   1.02 	   6.61 	      0 
   19.659	 DELIVER	     9 	   1.96 	    5.7 	      0 
   20.198	 DELIVER	    10 	   1.98 	   6.35 	      0 
   23.768	 DELIVER	    11 	   1.66 	   8.19 	      0 
   23.926	 DELIVER	    12 	   1.66 	   15.7 	      0 
   25.070	 DELIVER	    13 	   0.37 	   8.79 	      0 
   26.812	 DELIVER	    14 	  0.812 	   10.5 	      0 
   29.370	 DELIVER	    15 	  0.828 	   12.8 	      0 
   29.501	 DELIVER	    16 	   2.71 	   11.7 	      0 
   30.850	 DELIVER	    17 	   2.57 	   11.2 	      0 
   30.977	 DELIVER	    18 	   1.23 	   10.3 	      0 
   32.221	 DELIVER	    19 	  0.715 	   8.59 	      0 
   32.981	 DELIVER	    20 	   1.41 	   8.97 	      0 
   34.003	 DELIVER	    21 	   2.69 	    8.8 	      0 
   35.133	 DELIVER	    22 	  0.385 	   4.51 	      0 
   41.595	 DELIVER	    23 	   1.89 	   6.57 	      0 
   45.675	 DELIVER	    24 	   2.08 	   6.56 	      0 
   47.738	 DELIVER	    25 	    2.1 	   6.02 	      0 
   49.414	 DELIVER	    26 	   1.76 	   6.74 	      0 
   50.566	 DELIVER	    27 	   1.94 	   7.62 	      0 
   51.974	 DELIVER	    28 	    1.3 	   6.35 	      0 
   52.543	 DELIVER	    29 	   2.25 	   6.56 	      0 
   54.117	 DELIVER	    30 	   1.39 	   5.99 	      0 
   55.387	 DELIVER	    31 	   2.81 	    8.3 	      0 
   61.418	 DELIVER	    32 	   2.38 	   9.06 	      0 
   62.735	 DELIVER	    33 	   2.38 	   53.7 	  0.583 
   66.246	 DELIVER	    34 	   2.74 	   13.8 	  0.583 
   66.322	 DELIVER	    35 	   2.38 	   13.4 	  0.583 
   68.880	 DELIVER	    36 	  0.688 	   15.6 	  0.583 
   69.093	 DELIVER	    37 	  0.935 	   14.3 	  0.583 
   69.379	 DELIVER	    38 	  0.513 	   13.7 	  0.583 
   74.014	 DELIVER	    39 	   2.46 	   18.4 	  0.583 
   74.281	 DELIVER	    40 	   0.66 	   17.7 	  0.583 
   74.602	 DELIVER	    41 	   2.75 	   16.9 	  0.583 
   74.828	 DELIVER	    42 	    2.8 	   17.1 	  0.583 
   75.145	 DELIVER	    43 	   2.25 	   16.6 	  0.583 
   76.293	 DELIVER	    44 	    1.3 	   17.1 	  0.583 
   79.067	 DELIVER	    45 	   2.48 	   19.8 	  0.583 
   80.331	 DELIVER	    46 	  0.478 	   20.8 	  0.583 
   80.616	 DELIVER	    47 	   1.61 	     20 	  0.583 
   81.008	 DELIVER	    48 	    2.1 	   20.2 	  0.583 
   81.612	 DELIVER	    49 	   1.23 	   20.7 	  0.583 
   82.210	 DELIVER	    50 	   1.47 	     21 	  0.583 
   85.243	 DELIVER	    51 	  0.454 	   23.1 	  0.583 
   85.471	 DELIVER	    52 	   2.54 	   22.7 	  0.583 
   87.855	 DELIVER	    53 	   2.67 	   24.9 	  0.583 
   88.819	 DELIVER	    54 	  0.823 	   25.3 	   26.8 
   89.401	 DELIVER	    55 	   0.96 	   25.7 	   26.8 
   91.247	 DELIVER	    56 	  0.931 	   26.2 	   26.8 
   91.834	 DELIVER	    57 	    1.7 	   26.7 	   26.8 
   91.912	 DELIVER	    58 	   1.36 	   26.1 	   26.8 
   93.042	 DELIVER	    59 	   1.78 	   26.6 	   26.8 
   94.072	 DELIVER	    60 	   2.85 	   27.1 	   26.8 
   94.276	 DELIVER	    61 	  0.782 	   26.5 	   26.8 
   99.230	 DELIVER	    62 	   2.35 	   30.9 	   26.8 
   99.508	 DELIVER	    63 	   1.45 	   30.7 	   26.8 
   99.732	 DELIVER	    64 	   2.58 	   30.7 	   26.8 
  100.774	 DELIVER	    65 	   2.57 	   31.6 	   26.8 
  101.477	 DELIVER	    66 	   1.67 	   31.7 	   26.8 
  101.755	 DELIVER	    67 	   2.79 	   31.9 	   26.8 
  105.636	 DELIVER	    68 	   2.76 	   35.3 	   26.8 
  106.314	 DELIVER	    69 	   2.29 	     36 	   26.8 
  107.407	 DELIVER	    70 	  0.809 	   36.8 	   26.8 
  107.550	 DELIVER	    71 	  0.712 	     36 	   26.8 
  109.004	 DELIVER	    72 	  0.663 	   37.2 	   26.8 
  110.306	 DELIVER	    73 	   1.07 	   37.2 	   26.8 
  110.559	 DELIVER	    74 	  0.402 	   37.3 	   26.8 
  112.020	 DELIVER	    75 	   1.52 	   33.8 	   26.8 
  112.948	 DELIVER	    76 	   2.26 	   33.8 	   26.8 
  113.929	 DELIVER	    77 	   2.72 	     34 	   26.8 
  114.983	 DELIVER	    78 	   1.49 	   34.5 	   26.8 
  115.753	 DELIVER	    79 	   2.24 	   34.9 	   26.8 
  116.835	 DELIVER	    80 	    2.7 	   35.7 	   26.8 
  118.137	 DELIVER	    81 	   1.39 	   35.5 	   26.8 
  119.498	 DELIVER	    82 	   2.92 	   34.7 	   26.8 
  121.576	 DELIVER	    83 	   1.74 	   32.4 	   26.8 
  122.043	 DELIVER	    84 	   1.24 	   28.9 	   26.8 
  122.699	 DELIVER	    85 	   1.57 	   28.5 	   26.8 
  123.484	 DELIVER	    86 	      3 	   28.8 	   26.8 
  125.669	 DELIVER	    87 	  0.606 	   24.9 	   26.8 
  126.247	 DELIVER	    88 	  0.527 	     25 	   26.8 
  126.453	 DELIVER	    89 	    2.5 	     25 	   26.8 
  127.347	 DELIVER	    90 	  0.699 	   23.4 	   26.8 
  130.615	 DELIVER	    91 	   1.62 	   20.7 	   26.8 
  130.679	 DELIVER	    92 	    1.1 	   13.6 	   26.8 
  131.388	 DELIVER	    93 	   2.05 	   14.2 	   26.8 
  131.891	 DELIVER	    94 	  0.616 	   14.7 	   26.8 
  134.875	 DELIVER	    95 	   1.04 	   17.1 	   26.8 
  135.278	 DELIVER	    96 	   1.59 	     17 	   26.8 
  136.288	 DELIVER	    97 	   1.62 	   17.3 	   26.8 
  136.424	 DELIVER	    98 	  0.736 	   17.2 	   26.8 
  136.667	 DELIVER	    99 	   1.48 	   16.3 	   26.8 
  136.929	 DELIVER	   100 	   1.05 	   16.3 	   26.8 
  136.976	 DELIVER	   101 	   1.21 	     15 	   26.8 
  138.004	 DELIVER	   102 	    1.7 	   15.7 	   26.8 
  138.694	 DELIVER	   103 	  0.976 	   16.1 	   26.8 
  139.757	 DELIVER	   104 	   1.28 	   16.8 	   26.8 
  140.029	 DELIVER	   105 	  0.584 	   16.6 	   26.8 
  141.447	 DELIVER	   106 	   1.52 	   17.9 	   26.8 
  142.255	 DELIVER	   107 	  0.974 	   18.3 	   26.8 
  143.792	 DELIVER	   108 	   2.64 	   18.8 	   26.8 
  143.917	 DELIVER	   109 	   2.11 	   17.3 	   26.8 
  144.026	 DELIVER	   110 	   2.13 	   17.3 	   26.8 
  144.195	 DELIVER	   111 	   1.65 	   15.8 	   26.8 
  145.188	 DELIVER	   112 	  0.807 	   16.8 	   26.8 
  145.656	 DELIVER	   113 	   2.51 	   16.2 	   26.8 
  145.841	 DELIVER	   114 	   1.18 	   12.8 	   26.8 
  146.605	 DELIVER	   115 	  0.863 	   13.4 	   26.8 
  147.036	 DELIVER	   116 	   2.86 	   10.8 	   26.8 
  147.109	 DELIVER	   117 	   2.46 	   8.37 	   26.8 
  149.349	 DELIVER	   118 	   2.46 	   9.93 	   26.8 
  151.861	 DELIVER	   119 	  0.798 	   11.5 	   26.8 
  152.580	 DELIVER	   120 	  0.796 	   7.84 	   26.8 
  153.949	 DELIVER	   121 	   2.18 	    8.9 	   26.8 
  154.898	 DELIVER	   122 	  0.827 	   6.53 	   26.8 
  155.404	 DELIVER	   123 	  0.691 	   6.52 	   26.8 
  164.923	 DELIVER	   124 	   2.89 	   11.8 	   26.8 
