    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	          RATIO[0] 
    6.929	 DELIVER	     1 	   1.11 	   6.87 	      0 
    9.286	 DELIVER	     2 	   2.53 	   8.84 	      0 
    9.288	 DELIVER	     3 	   2.53 	   0.45 	      0 
    9.897	 DELIVER	     4 	  0.853 	   7.42 	      0 
   13.637	 DELIVER	     5 	  0.596 	    6.2 	      0 
   20.652	 DELIVER	     6 	   1.96 	   9.83 	      0 
   21.730	 DELIVER	     7 	   1.57 	   7.19 	      0 
   23.639	 DELIVER	     8 	  0.439 	   7.39 	      0 
   24.845	 DELIVER	     9 	   1.09 	   8.05 	      0 
   30.698	 DELIVER	    10 	   2.66 	   10.4 	      0 
   31.696	 DELIVER	    11 	   2.72 	   11.2 	      0 
   32.198	 DELIVER	    12 	   1.94 	   11.4 	      0 
   32.523	 DELIVER	    13 	   1.61 	     10 	      0 
   36.575	 DELIVER	    14 	   1.57 	   7.92 	      0 
   37.417	 DELIVER	    15 	   1.33 	   5.37 	      0 
   38.929	 DELIVER	    16 	    2.6 	   8.49 	      0 
   46.220	 DELIVER	    17 	   1.36 	   8.02 	      0 
   46.741	 DELIVER	    18 	   1.23 	   7.51 	      0 
   50.632	 DELIVER	    19 	   1.16 	   5.88 	      0 
   54.692	 DELIVER	    20 	  0.529 	   9.04 	      0 
   55.871	 DELIVER	    21 	  0.796 	   10.5 	      0 
   57.101	 DELIVER	    22 	  0.529 	   48.1 	      0 
   57.240	 DELIVER	    23 	   1.95 	   10.6 	      0 
   57.590	 DELIVER	    24 	  0.938 	   9.66 	      0 
   61.521	 DELIVER	    25 	  0.761 	   6.32 	      0 
   64.228	 DELIVER	    26 	   1.48 	   7.96 	      0 
   68.630	 DELIVER	    27 	   2.98 	     14 	      0 
   68.747	 DELIVER	    28 	   2.87 	   11.5 	      0 
   69.366	 DELIVER	    29 	  0.924 	   10.5 	      0 
   71.250	 DELIVER	    30 	   1.16 	   11.4 	      0 
   71.685	 DELIVER	    31 	   2.23 	     11 	      0 
   72.137	 DELIVER	    32 	  0.913 	     11 	      0 
   72.290	 DELIVER	    33 	  0.771 	   9.39 	      0 
   72.696	 DELIVER	    34 	  0.405 	   9.16 	      0 
