    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	          RATIO[0] 
    6.520	 DELIVER	     1 	  0.549 	   6.51 	      0 
    8.079	 DELIVER	     2 	  0.927 	   6.79 	      0 
    9.416	 DELIVER	     3 	   1.31 	    6.2 	      0 
   11.987	 DELIVER	     4 	    1.2 	   6.92 	      0 
   14.654	 DELIVER	     5 	  0.431 	   6.87 	      0 
   16.844	 DELIVER	     6 	   2.93 	   6.86 	      0 
   17.029	 DELIVER	     7 	   2.95 	   8.63 	      0 
   19.744	 DELIVER	     8 	  0.558 	   5.52 	      0 
   19.947	 DELIVER	     9 	   2.45 	   9.44 	      0 
   22.800	 DELIVER	    10 	   1.55 	   5.73 	      0 
   23.196	 DELIVER	    11 	   1.29 	   6.04 	      0 
   25.413	 DELIVER	    12 	  0.621 	   5.35 	      0 
   26.176	 DELIVER	    13 	    1.7 	   7.62 	      0 
   26.577	 DELIVER	    14 	    2.3 	    6.4 	      0 
   27.385	 DELIVER	    15 	   2.13 	   8.06 	      0 
   32.108	 DELIVER	    16 	  0.995 	   5.61 	      0 
   34.036	 DELIVER	    17 	   2.64 	   9.08 	      0 
   34.925	 DELIVER	    18 	   1.53 	   8.05 	      0 
   36.320	 DELIVER	    19 	   1.42 	   6.84 	      0 
   40.823	 DELIVER	    20 	   2.38 	   7.99 	      0 
   43.231	 DELIVER	    21 	   2.95 	   9.13 	      0 
   44.142	 DELIVER	    22 	   1.07 	   5.64 	      0 
   46.373	 DELIVER	    23 	   2.37 	   8.12 	      0 
   52.768	 DELIVER	    24 	   1.29 	   7.54 	      0 
   53.081	 DELIVER	    25 	   1.66 	   7.87 	      0 
   54.201	 DELIVER	    26 	  0.509 	   3.85 	      0 
   57.060	 DELIVER	    27 	  0.531 	    5.9 	      0 
   57.865	 DELIVER	    28 	   2.69 	   7.35 	      0 
   58.972	 DELIVER	    29 	   0.43 	    8.2 	      0 
   59.161	 DELIVER	    30 	  0.531 	   53.3 	      0 
   59.437	 DELIVER	    31 	   1.31 	   7.86 	      0 
   60.156	 DELIVER	    32 	   1.18 	   6.09 	      0 
   61.255	 DELIVER	    33 	   2.33 	    7.4 	      0 
   62.455	 DELIVER	    34 	   2.05 	   6.82 	      0 
   63.465	 DELIVER	    35 	   1.96 	   7.37 	      0 
   65.212	 DELIVER	    36 	   1.57 	   4.99 	      0 
   66.758	 DELIVER	    37 	   1.49 	   8.13 	      0 
   68.757	 DELIVER	    38 	   2.77 	   8.05 	      0 
   70.959	 DELIVER	    39 	   2.95 	   10.2 	      0 
   71.151	 DELIVER	    40 	   2.66 	   10.4 	      0 
   73.972	 DELIVER	    41 	   1.69 	   12.6 	      0 
   76.773	 DELIVER	    42 	    1.7 	   13.3 	      0 
   77.297	 DELIVER	    43 	   2.31 	   12.7 	      0 
   77.695	 DELIVER	    44 	   1.82 	   12.6 	      0 
   78.241	 DELIVER	    45 	  0.543 	   13.1 	      0 
   79.048	 DELIVER	    46 	   2.66 	   13.5 	      0 
   80.245	 DELIVER	    47 	   2.52 	   13.2 	      0 
   81.178	 DELIVER	    48 	  0.544 	   12.1 	      0 
   87.876	 DELIVER	    49 	   2.96 	   18.5 	      0 
   90.453	 DELIVER	    50 	   0.54 	   19.8 	      0 
   90.532	 DELIVER	    51 	  0.383 	   16.5 	      0 
   91.376	 DELIVER	    52 	   0.58 	   16.1 	      0 
   93.742	 DELIVER	    53 	   2.59 	   16.8 	      0 
   94.137	 DELIVER	    54 	   2.83 	   16.6 	      0 
   94.651	 DELIVER	    55 	   2.37 	   17.1 	      0 
   95.017	 DELIVER	    56 	   1.55 	   16.5 	      0 
   95.898	 DELIVER	    57 	   1.56 	   17.2 	      0 
   96.675	 DELIVER	    58 	   2.79 	   17.9 	      0 
   97.525	 DELIVER	    59 	  0.651 	   18.7 	      0 
   99.270	 DELIVER	    60 	   2.75 	   18.4 	      0 
  102.074	 DELIVER	    61 	  0.436 	   16.8 	      0 
  104.555	 DELIVER	    62 	   2.97 	   18.6 	      0 
  105.496	 DELIVER	    63 	  0.905 	   11.8 	      0 
  110.365	 DELIVER	    64 	   2.73 	   13.5 	      0 
  112.711	 DELIVER	    65 	    1.2 	   5.36 	      0 
