    Time	  Event	 Count	      POISSON[2]	         VARS[4]	   WAIT[VARS[5]]	           VARS[1] 
    0.002	  ENTER	     1 	      4 	      5 	      0 	      1 
   22.429	  ENTER	     2 	      4 	      5 	      0 	      1 
   49.766	  ENTER	     3 	      3 	      5 	      0 	      1 
   60.000	   EXIT	     1 	      3 	      4 	     60 	      8 
   60.000	   EXIT	     2 	      3 	      4 	   37.6 	      4 
   60.000	  LEAVE	     1 	      3 	      3 	   49.8 	      1 
   60.000	   EXIT	     3 	      3 	      3 	   10.2 	      1 
   64.062	  ENTER	     4 	      2 	      3 	   10.2 	      1 
   69.774	  ENTER	     5 	      3 	      3 	   10.2 	      1 
  101.353	  ENTER	     6 	      2 	      3 	   10.2 	      1 
  106.234	  ENTER	     7 	      2 	      3 	   10.2 	      1 
  120.000	   EXIT	     4 	      2 	      2 	   55.9 	     10 
  120.000	   EXIT	     5 	      2 	      3 	   50.2 	      7 
  120.000	   EXIT	     6 	      2 	      2 	   18.6 	      5 
  120.000	  LEAVE	     2 	      2 	      2 	    106 	      3 
  120.000	   EXIT	     7 	      2 	      2 	   13.8 	      3 
  120.860	  ENTER	     8 	      3 	      2 	   13.8 	      3 
  123.359	  ENTER	     9 	      6 	      2 	   13.8 	      3 
  129.066	  ENTER	    10 	      4 	      2 	   13.8 	      3 
  180.000	   EXIT	     8 	      4 	      3 	   59.1 	      9 
  180.000	   EXIT	     9 	      4 	      6 	   56.6 	      3 
  180.000	  LEAVE	     3 	      4 	      4 	    129 	      3 
  207.800	  ENTER	    11 	      3 	      4 	    129 	      3 
  231.216	  ENTER	    12 	      3 	      4 	    129 	      3 
  235.257	  ENTER	    13 	      5 	      4 	    129 	      3 
  240.000	   EXIT	    10 	      5 	      4 	    111 	      8 
  240.000	   EXIT	    11 	      5 	      3 	   32.2 	      5 
  240.000	   EXIT	    12 	      5 	      3 	   8.78 	      2 
  240.000	  LEAVE	     4 	      5 	      5 	    235 	      2 
  247.503	  ENTER	    14 	      1 	      5 	    235 	      2 
  253.502	  ENTER	    15 	      2 	      5 	    235 	      2 
  264.128	  ENTER	    16 	      4 	      5 	    235 	      2 
  278.125	  ENTER	    17 	      5 	      5 	    235 	      2 
  279.194	  ENTER	    18 	      2 	      5 	    235 	      2 
  292.630	  ENTER	    19 	      3 	      5 	    235 	      2 
  300.000	   EXIT	    13 	      3 	      5 	   64.7 	      7 
  300.000	   EXIT	    14 	      3 	      1 	   52.5 	      6 
  300.000	   EXIT	    15 	      3 	      2 	   46.5 	      4 
  300.000	   EXIT	    16 	      3 	      2 	   20.8 	      2 
  300.000	  LEAVE	     5 	      3 	      3 	    293 	      2 
  302.087	  ENTER	    20 	      4 	      3 	    293 	      2 
  319.273	  ENTER	    21 	      3 	      3 	    293 	      2 
  329.855	  ENTER	    22 	      4 	      3 	    293 	      2 
  336.062	  ENTER	    23 	      2 	      3 	    293 	      2 
  347.473	  ENTER	    24 	      1 	      3 	    293 	      2 
  347.891	  ENTER	    25 	      6 	      3 	    293 	      2 
  356.838	  ENTER	    26 	      8 	      3 	    293 	      2 
  360.000	   EXIT	    17 	      8 	      4 	   95.9 	      8 
  360.000	   EXIT	    18 	      8 	      5 	   81.9 	      3 
  360.000	   EXIT	    19 	      8 	      2 	   23.9 	      1 
  360.000	  LEAVE	     6 	      8 	      8 	    357 	      1 
  360.511	  ENTER	    27 	      3 	      8 	    357 	      1 
  363.193	  ENTER	    28 	      3 	      8 	    357 	      1 
  368.775	  ENTER	    29 	      1 	      8 	    357 	      1 
  383.589	  ENTER	    30 	      5 	      8 	    357 	      1 
  402.163	  ENTER	    31 	      4 	      8 	    357 	      1 
  410.485	  ENTER	    32 	      0 	      8 	    357 	      1 
  420.000	   EXIT	    20 	      0 	      3 	    127 	      9 
  420.000	   EXIT	    21 	      0 	      4 	    118 	      5 
  420.000	   EXIT	    22 	      0 	      3 	    101 	      2 
  420.000	   EXIT	    23 	      0 	      1 	   72.5 	      1 
  420.000	  LEAVE	     7 	      0 	     -1 	    410 	      1 
  429.109	  ENTER	    33 	      1 	     -1 	    410 	      1 
  450.838	  ENTER	    34 	      1 	     -1 	    410 	      1 
  459.240	  ENTER	    35 	      2 	     -1 	    410 	      1 
  467.616	  ENTER	    36 	      9 	     -1 	    410 	      1 
  479.313	  ENTER	    37 	      3 	     -1 	    410 	      1 
  480.000	   EXIT	    24 	      3 	      4 	    150 	      8 
  480.000	   EXIT	    25 	      3 	      6 	    132 	      2 
  480.000	   EXIT	    26 	      3 	      1 	    111 	      1 
  480.000	  LEAVE	     8 	      3 	      3 	    479 	      1 
  480.717	  ENTER	    38 	      3 	      3 	    479 	      1 
