    Time	  Event	 Count	      POISSON[2]	         VARS[4]	   WAIT[VARS[5]]	           VARS[1] 
    0.002	  ENTER	     1 	      3 	     -1 	      0 	     24 
    0.259	  ENTER	     2 	      5 	     -1 	      0 	     24 
    1.115	  ENTER	     3 	      2 	     -1 	      0 	     24 
   16.970	  ENTER	     4 	      6 	     -1 	      0 	     24 
   18.919	  ENTER	     5 	      1 	     -1 	      0 	     24 
   20.190	  ENTER	     6 	      3 	     -1 	      0 	     24 
   28.583	  ENTER	     7 	      6 	     -1 	      0 	     24 
   29.544	  ENTER	     8 	      5 	     -1 	      0 	     24 
   38.674	  ENTER	     9 	      1 	     -1 	      0 	     24 
   41.853	  ENTER	    10 	      4 	     -1 	      0 	     24 
   60.000	   EXIT	     1 	      4 	      3 	     60 	     21 
   60.000	   EXIT	     2 	      4 	      5 	   59.7 	     16 
   60.000	   EXIT	     3 	      4 	      2 	   58.9 	     14 
   60.000	   EXIT	     4 	      4 	      6 	     43 	      8 
   60.000	   EXIT	     5 	      4 	      1 	   41.1 	      7 
   60.000	   EXIT	     6 	      4 	      3 	   39.8 	      4 
   60.000	   EXIT	     7 	      4 	      1 	   21.3 	      3 
   60.000	  LEAVE	     1 	      4 	      4 	   41.9 	      3 
   85.941	  ENTER	    11 	      7 	      4 	   41.9 	      3 
   96.328	  ENTER	    12 	      3 	      4 	   41.9 	      3 
   97.622	  ENTER	    13 	      1 	      4 	   41.9 	      3 
  115.656	  ENTER	    14 	      4 	      4 	   41.9 	      3 
  117.692	  ENTER	    15 	      9 	      4 	   41.9 	      3 
  118.098	  ENTER	    16 	      3 	      4 	   41.9 	      3 
  118.563	  ENTER	    17 	      3 	      4 	   41.9 	      3 
  120.000	   EXIT	     8 	      3 	      6 	   91.4 	     18 
  120.000	   EXIT	     9 	      3 	      5 	   90.5 	     13 
  120.000	   EXIT	    10 	      3 	      4 	   78.1 	      9 
  120.000	   EXIT	    11 	      3 	      7 	   34.1 	      2 
  120.000	   EXIT	    12 	      3 	      1 	   22.4 	      1 
  120.000	  LEAVE	     2 	      3 	      3 	    119 	      1 
  125.061	  ENTER	    18 	      3 	      3 	    119 	      1 
  139.420	  ENTER	    19 	      4 	      3 	    119 	      1 
  145.495	  ENTER	    20 	      5 	      3 	    119 	      1 
  159.578	  ENTER	    21 	      1 	      3 	    119 	      1 
  180.000	   EXIT	    13 	      1 	      3 	   83.7 	     21 
  180.000	   EXIT	    14 	      1 	      4 	   64.3 	     17 
  180.000	   EXIT	    15 	      1 	      9 	   62.3 	      8 
  180.000	   EXIT	    16 	      1 	      3 	   61.9 	      5 
  180.000	   EXIT	    17 	      1 	      3 	   61.4 	      2 
  180.000	  LEAVE	     3 	      1 	      1 	    160 	      1 
  180.000	   EXIT	    18 	      1 	      1 	   20.4 	      1 
  240.000	   EXIT	    19 	      1 	      3 	    115 	     21 
  240.000	   EXIT	    20 	      1 	      4 	    101 	     17 
  240.000	   EXIT	    21 	      1 	      5 	   94.5 	     12 
  240.000	  LEAVE	     4 	      1 	     -1 	   20.4 	     12 
  246.201	  ENTER	    22 	      5 	     -1 	   20.4 	     12 
  246.916	  ENTER	    23 	      7 	     -1 	   20.4 	     12 
  250.532	  ENTER	    24 	      6 	     -1 	   20.4 	     12 
  257.570	  ENTER	    25 	      4 	     -1 	   20.4 	     12 
  260.606	  ENTER	    26 	      5 	     -1 	   20.4 	     12 
  283.503	  ENTER	    27 	      9 	     -1 	   20.4 	     12 
  289.865	  ENTER	    28 	      3 	     -1 	   20.4 	     12 
  290.040	  ENTER	    29 	      2 	     -1 	   20.4 	     12 
  295.195	  ENTER	    30 	      1 	     -1 	   20.4 	     12 
  300.000	   EXIT	    22 	      1 	      5 	   53.8 	     19 
  300.000	   EXIT	    23 	      1 	      7 	   53.1 	     12 
  300.000	   EXIT	    24 	      1 	      6 	   49.5 	      6 
  300.000	   EXIT	    25 	      1 	      4 	   42.4 	      2 
  300.000	  LEAVE	     5 	      1 	      1 	    295 	      1 
  300.000	   EXIT	    26 	      1 	      1 	   4.81 	      1 
  301.583	  ENTER	    31 	     11 	      1 	   4.81 	      1 
  310.890	  ENTER	    32 	      5 	      1 	   4.81 	      1 
  320.877	  ENTER	    33 	      6 	      1 	   4.81 	      1 
  333.062	  ENTER	    34 	      1 	      1 	   4.81 	      1 
  336.134	  ENTER	    35 	      4 	      1 	   4.81 	      1 
  351.468	  ENTER	    36 	      1 	      1 	   4.81 	      1 
  357.251	  ENTER	    37 	      3 	      1 	   4.81 	      1 
  360.000	   EXIT	    27 	      3 	      5 	   99.4 	     19 
  360.000	   EXIT	    28 	      3 	      9 	   76.5 	     10 
  360.000	   EXIT	    29 	      3 	      3 	   70.1 	      7 
  360.000	   EXIT	    30 	      3 	      2 	     70 	      5 
  360.000	   EXIT	    31 	      3 	      1 	   26.9 	      4 
  360.000	   EXIT	    32 	      3 	      1 	   8.53 	      3 
  360.000	  LEAVE	     6 	      3 	      3 	    357 	      3 
  367.934	  ENTER	    38 	      3 	      3 	    357 	      3 
  379.554	  ENTER	    39 	      4 	      3 	    357 	      3 
  386.704	  ENTER	    40 	      2 	      3 	    357 	      3 
  389.740	  ENTER	    41 	      6 	      3 	    357 	      3 
