    Time	  Event	 Count	      POISSON[2]	         VARS[4]	   WAIT[VARS[5]]	           VARS[1] 
    0.002	  ENTER	     1 	      4 	      5 	      0 	     12 
   22.429	  ENTER	     2 	      4 	      5 	      0 	     12 
   49.766	  ENTER	     3 	      3 	      5 	      0 	     12 
   60.000	   EXIT	     1 	      3 	      4 	     60 	     16 
   60.000	   EXIT	     2 	      3 	      4 	   37.6 	     12 
   60.000	  LEAVE	     1 	      3 	      3 	   49.8 	      9 
   60.000	   EXIT	     3 	      3 	      3 	   10.2 	      9 
   64.062	  ENTER	     4 	      2 	      3 	   10.2 	      9 
   69.774	  ENTER	     5 	      3 	      3 	   10.2 	      9 
  101.353	  ENTER	     6 	      2 	      3 	   10.2 	      9 
  106.234	  ENTER	     7 	      2 	      3 	   10.2 	      9 
  120.000	   EXIT	     4 	      2 	      2 	   55.9 	     18 
  120.000	   EXIT	     5 	      2 	      3 	   50.2 	     15 
  120.000	   EXIT	     6 	      2 	      2 	   18.6 	     13 
  120.000	  LEAVE	     2 	      2 	      2 	    106 	     11 
  120.000	   EXIT	     7 	      2 	      2 	   13.8 	     11 
  120.860	  ENTER	     8 	      3 	      2 	   13.8 	     11 
  123.359	  ENTER	     9 	      6 	      2 	   13.8 	     11 
  129.066	  ENTER	    10 	      4 	      2 	   13.8 	     11 
  180.000	   EXIT	     8 	      4 	      3 	   59.1 	     17 
  180.000	   EXIT	     9 	      4 	      6 	   56.6 	     11 
  180.000	  LEAVE	     3 	      4 	      4 	    129 	      7 
  180.000	   EXIT	    10 	      4 	      4 	   50.9 	      7 
  207.800	  ENTER	    11 	      3 	      4 	   50.9 	      7 
  231.216	  ENTER	    12 	      3 	      4 	   50.9 	      7 
  235.257	  ENTER	    13 	      5 	      4 	   50.9 	      7 
  240.000	   EXIT	    11 	      5 	      3 	   32.2 	     17 
  240.000	   EXIT	    12 	      5 	      3 	   8.78 	     14 
  240.000	  LEAVE	     4 	      5 	      5 	    235 	      9 
  240.000	   EXIT	    13 	      5 	      5 	   4.74 	      9 
  247.503	  ENTER	    14 	      1 	      5 	   4.74 	      9 
  253.502	  ENTER	    15 	      2 	      5 	   4.74 	      9 
  264.128	  ENTER	    16 	      4 	      5 	   4.74 	      9 
