    Time	  Event	 Count	      POISSON[2]	         VARS[4]	   WAIT[VARS[5]]	           VARS[1] 
    0.002	  ENTER	     1 	      4 	     -1 	      0 	     28 
    8.021	  ENTER	     2 	      2 	     -1 	      0 	     28 
   12.016	  ENTER	     3 	      4 	     -1 	      0 	     28 
   12.261	  ENTER	     4 	      5 	     -1 	      0 	     28 
   14.592	  ENTER	     5 	      3 	     -1 	      0 	     28 
   33.332	  ENTER	     6 	      2 	     -1 	      0 	     28 
   60.000	   EXIT	     1 	      2 	      4 	     60 	     24 
   60.000	   EXIT	     2 	      2 	      2 	     52 	     22 
   60.000	   EXIT	     3 	      2 	      4 	     48 	     18 
   60.000	   EXIT	     4 	      2 	      5 	   47.7 	     13 
   60.000	   EXIT	     5 	      2 	      3 	   45.4 	     10 
   60.000	  LEAVE	     1 	      2 	      2 	   33.3 	      8 
   60.000	   EXIT	     6 	      2 	      2 	   26.7 	      8 
   60.236	  ENTER	     7 	      3 	      2 	   26.7 	      8 
   63.543	  ENTER	     8 	      7 	      2 	   26.7 	      8 
   77.731	  ENTER	     9 	      6 	      2 	   26.7 	      8 
   99.543	  ENTER	    10 	      2 	      2 	   26.7 	      8 
  106.389	  ENTER	    11 	      6 	      2 	   26.7 	      8 
  116.474	  ENTER	    12 	      6 	      2 	   26.7 	      8 
  120.000	   EXIT	     7 	      6 	      3 	   59.8 	     25 
  120.000	   EXIT	     8 	      6 	      7 	   56.5 	     18 
  120.000	   EXIT	     9 	      6 	      6 	   42.3 	     12 
  120.000	   EXIT	    10 	      6 	      2 	   20.5 	     10 
  120.000	   EXIT	    11 	      6 	      6 	   13.6 	      4 
  120.000	  LEAVE	     2 	      6 	      6 	    116 	      4 
  122.449	  ENTER	    13 	      4 	      6 	    116 	      4 
  130.215	  ENTER	    14 	      8 	      6 	    116 	      4 
  135.074	  ENTER	    15 	      5 	      6 	    116 	      4 
  138.230	  ENTER	    16 	      5 	      6 	    116 	      4 
  141.399	  ENTER	    17 	      5 	      6 	    116 	      4 
  147.103	  ENTER	    18 	      3 	      6 	    116 	      4 
  180.000	   EXIT	    12 	      3 	      6 	   63.5 	     22 
  180.000	   EXIT	    13 	      3 	      4 	   57.6 	     18 
  180.000	   EXIT	    14 	      3 	      8 	   49.8 	     10 
  180.000	   EXIT	    15 	      3 	      5 	   44.9 	      5 
  180.000	  LEAVE	     3 	      3 	      3 	    147 	      2 
  180.000	   EXIT	    16 	      3 	      3 	   32.9 	      2 
  183.509	  ENTER	    19 	      3 	      3 	   32.9 	      2 
  197.146	  ENTER	    20 	      2 	      3 	   32.9 	      2 
  197.991	  ENTER	    21 	      5 	      3 	   32.9 	      2 
  201.895	  ENTER	    22 	      8 	      3 	   32.9 	      2 
