    Time	  Event	 Count	      POISSON[2]	         VARS[4]	   WAIT[VARS[5]]	           VARS[1] 
    0.003	  ENTER	     1 	      3 	     -1 	      0 	     28 
    4.169	  ENTER	     2 	      4 	     -1 	      0 	     28 
   12.209	  ENTER	     3 	      3 	     -1 	      0 	     28 
   17.689	  ENTER	     4 	      5 	     -1 	      0 	     28 
   20.619	  ENTER	     5 	      1 	     -1 	      0 	     28 
   46.325	  ENTER	     6 	      2 	     -1 	      0 	     28 
   54.984	  ENTER	     7 	      7 	     -1 	      0 	     28 
   56.639	  ENTER	     8 	      6 	     -1 	      0 	     28 
   58.291	  ENTER	     9 	      4 	     -1 	      0 	     28 
   60.000	   EXIT	     1 	      4 	      3 	     60 	     25 
   60.000	   EXIT	     2 	      4 	      4 	   55.8 	     21 
   60.000	   EXIT	     3 	      4 	      3 	   47.8 	     18 
   60.000	   EXIT	     4 	      4 	      5 	   42.3 	     13 
   60.000	   EXIT	     5 	      4 	      1 	   39.4 	     12 
   60.000	   EXIT	     6 	      4 	      2 	   13.7 	     10 
   60.000	   EXIT	     7 	      4 	      7 	   5.02 	      3 
   60.000	  LEAVE	     1 	      4 	      4 	   58.3 	      3 
  120.000	   EXIT	     8 	      4 	      6 	   63.4 	     22 
  120.000	  LEAVE	     2 	      4 	      4 	   58.3 	     18 
  120.000	   EXIT	     9 	      4 	      4 	   61.7 	     18 
  132.971	  ENTER	    10 	      1 	      4 	   61.7 	     18 
  152.332	  ENTER	    11 	      0 	      4 	   61.7 	     18 
  162.078	  ENTER	    12 	      2 	      4 	   61.7 	     18 
  180.000	   EXIT	    10 	      2 	      1 	     47 	     27 
  180.000	  LEAVE	     3 	      2 	      2 	    162 	     25 
  180.000	   EXIT	    11 	      2 	      2 	   17.9 	     25 
  227.955	  ENTER	    13 	      5 	      2 	   17.9 	     25 
  235.465	  ENTER	    14 	      2 	      2 	   17.9 	     25 
  240.000	   EXIT	    12 	      2 	      5 	     12 	     23 
  240.000	  LEAVE	     4 	      2 	      2 	    235 	     21 
  240.000	   EXIT	    13 	      2 	      2 	   4.53 	     21 
  242.874	  ENTER	    15 	      1 	      2 	   4.53 	     21 
  249.446	  ENTER	    16 	      2 	      2 	   4.53 	     21 
  260.023	  ENTER	    17 	      7 	      2 	   4.53 	     21 
  261.498	  ENTER	    18 	      3 	      2 	   4.53 	     21 
  273.386	  ENTER	    19 	      8 	      2 	   4.53 	     21 
  298.323	  ENTER	    20 	      2 	      2 	   4.53 	     21 
  300.000	   EXIT	    14 	      2 	      1 	   57.1 	     27 
  300.000	   EXIT	    15 	      2 	      2 	   50.6 	     25 
  300.000	   EXIT	    16 	      2 	      7 	     40 	     18 
  300.000	   EXIT	    17 	      2 	      3 	   38.5 	     15 
  300.000	   EXIT	    18 	      2 	      8 	   26.6 	      7 
  300.000	  LEAVE	     5 	      2 	      2 	    298 	      5 
  300.000	   EXIT	    19 	      2 	      2 	   1.68 	      5 
  318.318	  ENTER	    21 	      4 	      2 	   1.68 	      5 
  324.294	  ENTER	    22 	      1 	      2 	   1.68 	      5 
  339.773	  ENTER	    23 	      1 	      2 	   1.68 	      5 
  348.578	  ENTER	    24 	      3 	      2 	   1.68 	      5 
  349.212	  ENTER	    25 	      6 	      2 	   1.68 	      5 
  360.000	   EXIT	    20 	      6 	      4 	   41.7 	     24 
  360.000	   EXIT	    21 	      6 	      1 	   35.7 	     23 
  360.000	   EXIT	    22 	      6 	      1 	   20.2 	     22 
  360.000	   EXIT	    23 	      6 	      3 	   11.4 	     19 
  360.000	  LEAVE	     6 	      6 	      6 	    349 	     13 
  360.000	   EXIT	    24 	      6 	      6 	   10.8 	     13 
  379.292	  ENTER	    26 	      6 	      6 	   10.8 	     13 
  392.456	  ENTER	    27 	      5 	      6 	   10.8 	     13 
  396.807	  ENTER	    28 	      3 	      6 	   10.8 	     13 
  398.096	  ENTER	    29 	      4 	      6 	   10.8 	     13 
  405.759	  ENTER	    30 	      5 	      6 	   10.8 	     13 
  407.728	  ENTER	    31 	      3 	      6 	   10.8 	     13 
  419.334	  ENTER	    32 	      2 	      6 	   10.8 	     13 
  419.760	  ENTER	    33 	      2 	      6 	   10.8 	     13 
  420.000	   EXIT	    25 	      2 	      6 	   40.7 	     22 
  420.000	   EXIT	    26 	      2 	      5 	   27.5 	     17 
  420.000	   EXIT	    27 	      2 	      3 	   23.2 	     14 
  420.000	   EXIT	    28 	      2 	      4 	   21.9 	     10 
  420.000	   EXIT	    29 	      2 	      5 	   14.2 	      5 
  420.000	   EXIT	    30 	      2 	      3 	   12.3 	      2 
  420.000	  LEAVE	     7 	      2 	      2 	    420 	      2 
  424.082	  ENTER	    34 	      4 	      2 	    420 	      2 
  431.724	  ENTER	    35 	      7 	      2 	    420 	      2 
  437.285	  ENTER	    36 	      4 	      2 	    420 	      2 
  440.216	  ENTER	    37 	      2 	      2 	    420 	      2 
  442.114	  ENTER	    38 	      4 	      2 	    420 	      2 
  450.042	  ENTER	    39 	      2 	      2 	    420 	      2 
  476.169	  ENTER	    40 	      4 	      2 	    420 	      2 
  480.000	   EXIT	    31 	      4 	      2 	   60.7 	     26 
  480.000	   EXIT	    32 	      4 	      2 	   60.2 	     24 
  480.000	   EXIT	    33 	      4 	      4 	   55.9 	     20 
  480.000	   EXIT	    34 	      4 	      7 	   48.3 	     13 
  480.000	   EXIT	    35 	      4 	      4 	   42.7 	      9 
  480.000	   EXIT	    36 	      4 	      2 	   39.8 	      7 
  480.000	   EXIT	    37 	      4 	      4 	   37.9 	      3 
  480.000	   EXIT	    38 	      4 	      2 	     30 	      1 
  480.000	  LEAVE	     8 	      4 	      4 	    476 	      1 
  485.746	  ENTER	    41 	      2 	      4 	    476 	      1 
  489.670	  ENTER	    42 	      1 	      4 	    476 	      1 
  491.122	  ENTER	    43 	      4 	      4 	    476 	      1 
  499.924	  ENTER	    44 	      3 	      4 	    476 	      1 
  540.000	   EXIT	    39 	      3 	      4 	   63.8 	     24 
  540.000	   EXIT	    40 	      3 	      2 	   54.3 	     22 
  540.000	   EXIT	    41 	      3 	      1 	   50.3 	     21 
  540.000	   EXIT	    42 	      3 	      4 	   48.9 	     17 
  540.000	  LEAVE	     9 	      3 	      3 	    500 	     14 
  540.000	   EXIT	    43 	      3 	      3 	   40.1 	     14 
  600.000	  LEAVE	    10 	      3 	     -1 	   40.1 	     28 
SUMMARY STATISTICS
POISSON[2]:
 Time Ave. = 	  3.128 Time Sample Var. =	  1.897
 Event Ave. =	  3.371 Event Sample Var. =	  2.563
 Minimum =	      0
 Maximum =	      8
VARS[4]:
 Time Ave. = 	   1.28 Time Sample Var. =	  5.362
 Event Ave. =	  2.938 Event Sample Var. =	   4.47
 Minimum =	     -1
 Maximum =	      8
WAIT[VARS[5]]:
 Time Ave. = 	  81.49 Time Sample Var. =	1.873e+04
 Event Ave. =	  96.51 Event Sample Var. =	2.347e+04
 Minimum =	      0
 Maximum =	  499.9
VARS[1]:
 Time Ave. = 	     19 Time Sample Var. =	  107.3
 Event Ave. =	  15.11 Event Sample Var. =	  81.85
 Minimum =	      1
 Maximum =	     28
