    Time	  Event	 Count	      POISSON[2]	         VARS[4]	   WAIT[VARS[5]]	           VARS[1] 
    0.003	  ENTER	     1 	      3 	     -1 	      0 	     23 
   60.000	  LEAVE	     1 	      3 	      3 	0.00297 	     25 
   60.000	   EXIT	     1 	      3 	      3 	     60 	     25 
   64.608	  ENTER	     2 	      6 	      3 	     60 	     25 
   80.105	  ENTER	     3 	      2 	      3 	     60 	     25 
   80.426	  ENTER	     4 	      3 	      3 	     60 	     25 
   88.861	  ENTER	     5 	      1 	      3 	     60 	     25 
   93.270	  ENTER	     6 	      9 	      3 	     60 	     25 
  100.096	  ENTER	     7 	      5 	      3 	     60 	     25 
  113.706	  ENTER	     8 	      1 	      3 	     60 	     25 
  120.000	   EXIT	     2 	      1 	      6 	   55.4 	     22 
  120.000	   EXIT	     3 	      1 	      2 	   39.9 	     20 
  120.000	   EXIT	     4 	      1 	      3 	   39.6 	     17 
  120.000	   EXIT	     5 	      1 	      1 	   31.1 	     16 
  120.000	   EXIT	     6 	      1 	      9 	   26.7 	      7 
  120.000	   EXIT	     7 	      1 	      5 	   19.9 	      2 
  120.000	  LEAVE	     2 	      1 	      1 	    114 	      1 
  120.000	   EXIT	     8 	      1 	      1 	   6.29 	      1 
  127.882	  ENTER	     9 	      2 	      1 	   6.29 	      1 
  137.528	  ENTER	    10 	      1 	      1 	   6.29 	      1 
  139.198	  ENTER	    11 	      2 	      1 	   6.29 	      1 
  149.755	  ENTER	    12 	      2 	      1 	   6.29 	      1 
  157.738	  ENTER	    13 	      3 	      1 	   6.29 	      1 
  167.391	  ENTER	    14 	      0 	      1 	   6.29 	      1 
  173.330	  ENTER	    15 	      0 	      1 	   6.29 	      1 
  180.000	   EXIT	     9 	      0 	      2 	   52.1 	     26 
  180.000	   EXIT	    10 	      0 	      1 	   42.5 	     25 
  180.000	   EXIT	    11 	      0 	      2 	   40.8 	     23 
  180.000	   EXIT	    12 	      0 	      2 	   30.2 	     21 
  180.000	   EXIT	    13 	      0 	      3 	   22.3 	     18 
  180.000	  LEAVE	     3 	      0 	     -1 	    173 	     18 
  189.548	  ENTER	    16 	      4 	     -1 	    173 	     18 
  198.646	  ENTER	    17 	      5 	     -1 	    173 	     18 
  221.997	  ENTER	    18 	      9 	     -1 	    173 	     18 
  240.000	   EXIT	    14 	      9 	      4 	   50.5 	     24 
  240.000	   EXIT	    15 	      9 	      5 	   41.4 	     19 
  240.000	  LEAVE	     4 	      9 	      9 	    222 	     10 
  240.000	   EXIT	    16 	      9 	      9 	     18 	     10 
  272.190	  ENTER	    19 	      7 	      9 	     18 	     10 
  273.783	  ENTER	    20 	      3 	      9 	     18 	     10 
  292.194	  ENTER	    21 	      2 	      9 	     18 	     10 
  300.000	   EXIT	    17 	      2 	      7 	   27.8 	     21 
  300.000	   EXIT	    18 	      2 	      3 	   26.2 	     18 
  300.000	  LEAVE	     5 	      2 	      2 	    292 	     16 
  300.000	   EXIT	    19 	      2 	      2 	   7.81 	     16 
  320.710	  ENTER	    22 	      3 	      2 	   7.81 	     16 
  339.550	  ENTER	    23 	      3 	      2 	   7.81 	     16 
  341.282	  ENTER	    24 	      0 	      2 	   7.81 	     16 
  354.874	  ENTER	    25 	      3 	      2 	   7.81 	     16 
  360.000	   EXIT	    20 	      3 	      3 	   39.3 	     25 
