    Time	  Event	 Count	      POISSON[2]	         VARS[4]	   WAIT[VARS[5]]	           VARS[1] 
    0.001	  ENTER	     1 	      1 	     -1 	      0 	     28 
    5.923	  ENTER	     2 	      4 	     -1 	      0 	     28 
   25.616	  ENTER	     3 	      3 	     -1 	      0 	     28 
   28.082	  ENTER	     4 	      2 	     -1 	      0 	     28 
   45.609	  ENTER	     5 	      4 	     -1 	      0 	     28 
   58.899	  ENTER	     6 	      0 	     -1 	      0 	     28 
   60.000	   EXIT	     1 	      0 	      1 	     60 	     27 
   60.000	   EXIT	     2 	      0 	      4 	   54.1 	     23 
   60.000	   EXIT	     3 	      0 	      3 	   34.4 	     20 
   60.000	   EXIT	     4 	      0 	      2 	   31.9 	     18 
   60.000	   EXIT	     5 	      0 	      4 	   14.4 	     14 
   60.000	  LEAVE	     1 	      0 	     -1 	   58.9 	     14 
   74.806	  ENTER	     7 	      2 	     -1 	   58.9 	     14 
   76.952	  ENTER	     8 	      3 	     -1 	   58.9 	     14 
   81.800	  ENTER	     9 	      2 	     -1 	   58.9 	     14 
  113.748	  ENTER	    10 	      4 	     -1 	   58.9 	     14 
  120.000	   EXIT	     6 	      4 	      2 	   45.2 	     26 
  120.000	   EXIT	     7 	      4 	      3 	     43 	     23 
  120.000	   EXIT	     8 	      4 	      2 	   38.2 	     21 
  120.000	  LEAVE	     2 	      4 	      4 	    114 	     17 
  120.000	   EXIT	     9 	      4 	      4 	   6.25 	     17 
  126.386	  ENTER	    11 	      6 	      4 	   6.25 	     17 
  155.947	  ENTER	    12 	      3 	      4 	   6.25 	     17 
  180.000	   EXIT	    10 	      3 	      6 	   53.6 	     22 
  180.000	  LEAVE	     3 	      3 	      3 	    156 	     19 
  180.000	   EXIT	    11 	      3 	      3 	   24.1 	     19 
  186.295	  ENTER	    13 	      8 	      3 	   24.1 	     19 
  197.268	  ENTER	    14 	      2 	      3 	   24.1 	     19 
  213.940	  ENTER	    15 	      3 	      3 	   24.1 	     19 
  214.474	  ENTER	    16 	      2 	      3 	   24.1 	     19 
  219.201	  ENTER	    17 	      3 	      3 	   24.1 	     19 
  221.119	  ENTER	    18 	      7 	      3 	   24.1 	     19 
  240.000	   EXIT	    12 	      7 	      8 	   53.7 	     20 
  240.000	   EXIT	    13 	      7 	      2 	   42.7 	     18 
  240.000	   EXIT	    14 	      7 	      3 	   26.1 	     15 
  240.000	   EXIT	    15 	      7 	      2 	   25.5 	     13 
  240.000	   EXIT	    16 	      7 	      3 	   20.8 	     10 
  240.000	  LEAVE	     4 	      7 	      7 	    221 	      3 
  240.000	   EXIT	    17 	      7 	      7 	   18.9 	      3 
  260.008	  ENTER	    19 	      4 	      7 	   18.9 	      3 
  267.620	  ENTER	    20 	      6 	      7 	   18.9 	      3 
  269.356	  ENTER	    21 	      1 	      7 	   18.9 	      3 
  276.468	  ENTER	    22 	      5 	      7 	   18.9 	      3 
  292.468	  ENTER	    23 	      0 	      7 	   18.9 	      3 
  292.477	  ENTER	    24 	      4 	      7 	   18.9 	      3 
  292.813	  ENTER	    25 	      4 	      7 	   18.9 	      3 
  300.000	   EXIT	    18 	      4 	      4 	     40 	     24 
  300.000	   EXIT	    19 	      4 	      6 	   32.4 	     18 
  300.000	   EXIT	    20 	      4 	      1 	   30.6 	     17 
